run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
29,.0084248,.0378892,-.0003626,-.0009131,9.08e-06,.0000234,3.08e-11,-7.53e-09
30,.017063,.0513568,-.0007183,-.0015296,-2.98e-06,.0000321,-2.57e-10,-9.82e-09
31,.0121065,.0420019,-.0004221,-.0011005,.0000136,.0000204,-6.90e-09,-6.40e-09
32,.0035683,.051975,-.0000833,-.001356,.0000159,.0000328,-2.34e-09,-1.38e-08
33,.0092879,.0154948,-.0004039,-.0005132,6.25e-06,.0000638,-1.96e-09,-1.65e-08
34,.004766,-.0049028,-.0001038,-.000081,5.00e-06,.0000274,-1.02e-09,-7.64e-09
35,.0069774,.0365524,-.0003856,-.0010291,-6.89e-06,.0000255,1.01e-09,-8.16e-09
36,.0116196,.0175377,-.0004344,-.0005509,.0000111,.0000192,-4.90e-09,-6.73e-09
37,.0097316,.0362026,-.000343,-.0010127,-1.37e-06,.0000362,-8.16e-10,-1.07e-08
38,.0073349,.0290658,-.0002177,-.0007193,.0000117,-4.78e-06,-4.33e-09,1.67e-09
39,.012805,.0129944,-.000442,-.0006773,4.00e-08,.0000282,-4.22e-10,-4.64e-09
40,.005928,.0173968,-.0002656,-.0005041,.0000113,.000073,-1.63e-09,-1.94e-08
41,.0111564,.0425886,-.0004284,-.001166,7.51e-06,8.36e-06,-7.35e-10,-8.73e-10
42,.0197591,.0171789,-.0005831,-.0007402,-6.81e-06,.0000188,-3.09e-09,-6.70e-09
43,.0054504,.0213574,-.0000801,-.000624,5.15e-06,.0000432,-2.10e-09,-1.40e-08
44,.0181615,.0361292,-.0005982,-.0010243,2.08e-06,.0000302,-3.16e-09,-5.95e-09
45,.0128554,.0216126,-.0005669,-.0005973,-2.93e-06,.0000455,-1.20e-09,-1.07e-08
46,.0081616,.0750957,-.0002994,-.0017034,7.02e-06,.0000345,-2.43e-09,-9.22e-09
47,.0085368,.0115709,-.0002794,-.0003492,-9.93e-06,.0000387,1.89e-09,-1.17e-08
48,.0119139,.0151432,-.0004778,-.0004725,3.02e-06,.0000539,-3.63e-09,-1.67e-08
49,.0020479,.0248329,-.0002091,-.0007246,.0000173,.0000294,-3.19e-09,-8.45e-09
50,.0040881,-.0010022,-.0002344,-.0002995,.0000107,.0000269,-4.26e-09,-6.24e-09
51,.0136198,.0173623,-.0004354,-.0006548,-4.76e-06,.0000372,-1.92e-10,-1.15e-08
52,.0117117,.0239018,-.0003525,-.0007412,.0000254,.0000247,-8.34e-09,-7.53e-09
53,.0038833,.0722445,-.0001506,-.001761,9.70e-06,9.97e-06,-3.00e-09,-2.72e-09
54,.013195,-.0152765,-.000557,.0001806,9.99e-06,.0000246,-2.28e-09,-8.08e-09
55,.0064107,.0274063,-.0003368,-.0006003,6.32e-06,.0000213,-3.87e-09,-7.23e-09
56,.0133228,.0079179,-.0003679,-.0003852,8.46e-07,.000021,8.25e-10,-7.10e-09
57,.0023369,-.0023082,-.0001396,-.0002084,1.52e-06,.0000427,-2.02e-09,-1.10e-08
58,.0178651,.0309611,-.0004948,-.0008081,.0000187,.0000447,-6.17e-09,-1.53e-08
59,.0017301,.0303253,5.62e-06,-.0007285,-6.66e-06,.0000444,2.27e-09,-1.37e-08
60,.0087002,.0268229,-.0003794,-.0008553,-.0000148,.0000229,-4.09e-11,-7.22e-09
61,.007968,.0426621,-.0003141,-.0010124,.0000146,.0000333,-6.02e-09,-8.60e-09
62,.0005126,.0516051,-7.19e-06,-.0012894,3.36e-06,.0000342,-3.25e-09,-9.55e-09
63,.0110898,.0277822,-.0004799,-.0008249,9.62e-06,5.51e-06,-2.98e-09,-5.05e-09
64,.0089597,.0566523,-.0003355,-.001284,.0000204,.0000113,-8.22e-09,-4.58e-09
65,.0147095,.0144837,-.0005485,-.0005634,-1.09e-06,.0000486,-1.38e-09,-1.56e-08
66,.0134977,.0187209,-.0002653,-.0007375,.0000116,.0000148,-8.85e-10,-4.04e-09
67,.0017228,.0303037,.0000207,-.0008371,5.56e-06,.0000256,2.54e-10,-6.49e-09
68,.0067253,.0309035,-.0002426,-.0009424,.0000318,.000034,-8.30e-09,-7.51e-09
69,.0078815,.0166725,-.0003943,-.0005935,.0000133,.0000325,-6.67e-09,-8.32e-09
70,.0152699,-.0021243,-.0006153,-.000111,9.58e-06,.0000513,-6.98e-10,-1.60e-08
71,.0059214,.0330952,-.0001682,-.0008638,.000018,.000024,-4.64e-09,-6.39e-09
72,.0085806,.023564,-.000102,-.0007248,5.88e-06,2.87e-06,-2.92e-09,-1.64e-09
73,.0061602,.0294634,-.0002282,-.0007759,.0000323,.0000352,-6.13e-09,-1.08e-08
74,.002898,-.0045607,-.0001351,.0000503,.0000135,.0000141,-2.69e-09,-4.91e-09
75,.005927,.0405761,-.0001761,-.0011162,-.0000115,.0000216,-3.81e-10,-6.05e-09
76,.0132532,.0203848,-.0003613,-.0008116,.0000172,8.60e-06,-4.03e-09,-4.16e-09
77,.0038098,.0418823,-.0001345,-.0010384,6.65e-07,.000032,1.15e-10,-7.84e-09
78,.0067235,.0461387,-.0003984,-.0012425,-.0000119,.0000272,2.42e-09,-6.68e-09
79,.0128125,.02506,-.0004009,-.0007646,-.0000119,-4.91e-06,4.92e-10,-1.03e-09
80,.0068916,.0173803,-.0001227,-.0006494,.0000373,.0000485,-1.17e-08,-1.62e-08
81,.006797,.0156644,-.0003152,-.0007338,.0000324,7.55e-06,-8.41e-09,-2.98e-09
82,.0161167,.0204539,-.0006722,-.0006075,.0000259,.0000443,-8.87e-09,-1.37e-08
83,.0195553,.080051,-.0008649,-.0018183,.0000341,.0000488,-1.27e-08,-1.37e-08
84,.0100282,.0445001,-.0004353,-.0014157,.0000129,.000018,-3.95e-09,-4.68e-09
85,.0065969,.0059981,-.0002859,-.0003334,-.0000359,.0000493,1.04e-08,-1.33e-08
86,.01535,.0038191,-.0004969,-.0002607,.0000199,.0000406,-8.11e-09,-1.14e-08
87,.0143702,.0094321,-.0006867,-.0004145,-5.50e-06,.000045,1.61e-09,-1.36e-08
88,.0124492,.0497243,-.0004668,-.0012028,-4.36e-07,.000039,-2.83e-09,-1.22e-08
89,.0141542,.0130652,-.0004915,-.0003907,.0000357,8.54e-06,-1.01e-08,-4.03e-09
90,.0181175,.0414367,-.0005929,-.0012495,-.0000128,.0000256,-1.18e-09,-6.82e-09
91,.0107668,.0677278,-.0004749,-.0014992,-.0000228,.0000479,3.74e-09,-1.39e-08
