run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
891,.011458,.0049205,-.0107853,-.0058229,-.0119108,-.0395658,-.0074496,.0113204,-.0025648,-.0280557,.0098397,.0015888,-.0008064,-.0003007,.0003718,.0003007,.0003339,.0007337,.0001855,-.0004409,.000052,.0007059,-.0002033,.0000263,-.0114129,-.0556148,-.0000665,.001025
892,.0115228,-.0264717,-.0070881,-.0019505,-.0016276,-.0560444,-.0009833,-.0061356,.0003787,-.0205395,.0011302,.0015416,-.0005326,.0003414,.0002654,.0002653,.00001,.0011548,-.0000805,.0001191,3.71e-06,.0006563,.0000666,-.0000501,.0033326,-.1096002,-.0002674,.0024868
893,.0042303,.002794,-.0088087,-.0031738,-.0029252,-.0248352,-.0094366,-.0022966,-.0012325,-.0014407,.0093752,.0115354,-.0002014,-.0003335,.0003277,.0001337,-.0000447,.0004146,.0003715,-9.72e-06,-.0000561,.0002067,-.0002332,-.0002908,-.0087975,-.0174169,.0001638,.000121
894,.0135222,-.0120968,-.0105619,.0006274,-.0023788,-.0321759,-.008567,-.0039991,.011768,-.0027298,.010323,.0102378,-.0005785,-.0000883,.0005189,.0002331,-.0000319,.0007117,.000261,.0000577,-.0004614,.0000693,-.0002357,-.0002821,.0141056,-.0401366,-.0005277,.0007012
895,.0079874,-.0137867,-.0123108,.0159005,-.0136172,-.047093,.0003942,.0256654,.0003902,-.014059,.0154844,.0034221,-.0003974,-.0001241,.0004705,-.000211,.0003235,.0009125,-.0003793,-.0006493,-.0000522,.0004741,-.0005549,-.0003024,-.0016719,-.0299509,-.0005897,.0000998
896,.0150007,-.0027227,-.0052982,.0085195,-.0096636,-.0365666,-.0020116,.0085397,.0017352,-.0078356,.0069283,.0156483,-.0007436,-.0001573,.000235,-.0001032,.0003071,.0006482,-.0001176,-.0002459,-.0001147,.0003366,-.0001223,-.0004187,.0066909,-.0144173,-.0005561,.0000598
897,.0003907,.0017436,-.010843,-.0029231,-.008678,-.0317354,.0019758,.0095224,-.0006037,-.0060903,.0096591,.0115538,-.000132,-.0002228,.0003135,.0001302,.000277,.0005688,-.0002338,-.0003091,-5.75e-06,.0001038,-.000255,-.0003364,-.008099,-.0179291,-.0000361,-.0000654
898,.0074207,.0090042,-.0107938,-.0065523,-.0110092,-.0027297,-.006994,-.0022622,-.0009482,.0100479,.0105159,.0051681,-.0004371,-.0005711,.0004624,.0003692,.0003359,-7.14e-06,.000201,-.0000421,.0001913,-.0001786,-.0002671,-.0002612,-.0118086,.0126759,.0004865,-.0006909
899,.0054248,.0056263,-.0113011,.0051179,-.0096631,-.0257923,.0003704,.0245864,-.0006519,.0101057,.0062908,.0148186,-.0002145,-.0002964,.0004152,-.0000304,.0002337,.0005118,-.000115,-.0006,.0001175,-.0000829,-.0002331,-.0004677,-.0095301,.0344625,.0002037,-.0009657
900,.0097119,-.0116643,-.0075335,-.0044946,-.0010353,-.0288202,-.000776,.0036591,-.000952,-.0047654,-.0005988,-.0045766,-.0004697,-.00004,.000305,.0002358,-.0000411,.0005994,.0000325,-.0002245,-.0001203,.0001772,.0000755,.0001379,-.0011837,-.0506619,-.0002181,.0008858
901,.0090865,-.0015902,-.0098942,.0090938,-.0028622,-.0418643,.0020818,.0141035,.0032533,.0013753,.0025245,.0093221,-.0003465,-.000094,.0004202,-.0001811,.0001013,.0007817,-.0001292,-.0005773,-.0001431,.0000927,7.74e-06,-.000323,.0041896,-.0095599,-.0000895,-.0003011
902,.0047141,-.0313547,-.0066743,-.0048532,-.0052151,.013749,-.003504,.0044716,-.0020875,.0163875,.0006616,-.0063273,-.0001686,.000432,.0003519,.0003468,.0002226,-.0004079,.0000174,-.0001847,.0001206,-.0002058,.0000622,.0000512,-.0121052,-.0079271,.0006061,.0000315
903,.0219094,-.0208242,-.0022664,-.0035614,.0009446,-.0428242,.0018997,-.0029594,.0100247,-.022663,-.0052015,.0036625,-.0008549,.0001966,.0002155,.0002145,-.0000839,.0007182,-.0000666,-.0001247,-.0003319,.0006718,.000331,-.0002099,.0273105,-.0891697,-.0007907,.0014665
